URL: http://animexx.onlinewelten.com/datenbank-zuviel.phtml?them_id=1

Du siehst zuviel Sailor Moon, wenn...

... 	dein Papagei plötzlich beginnt, "Chibi Chibi" zu rufen. 	 Onkel_Montork
... 	du in die Schule kommst, deine Freunde immer rufen: "Sailormoon ist da" 	DOC
... 	deine Traenen beim Heulen wegen einer Kleinigkeit aus dem Gesicht fliegen und sich eine Pfuetze bildet. 	DOC
... 	du dich wunderst dass du keine Moonie-Freunde hast, bloß weil du SM-Stufe 1 bist. 	DOC
... 	du denkst, dass Serenity deine Mutter ist, und Bunny deine vorher unbekannte Schwester. 	DOC
... 	du Bill Gates bittest, sein Geld in Sailor Moon zu investieren. 	DOC
... 	du alle zu Anti-Moonies bekehrst, damit du Sailor Moon ganz für dich alleine hast. 	DOC
... 	du im Winter den Gartenschlauch nimmst das Wasser aufdrehst und rufst "Wasserstrahl flieg und frier"! 	DOC
... 	du mit deinem Ball redest wie Chibiusa. 	DOC
... 	du Dich in eine neue Sailor Kriegerrin verwandelts und anfängst das Böse zu bekämpfen. 	DOC
... 	du anfängst die Erde mit dem Mond zu verwechseln. 	DOC
... 	man sich das Buch "Endymion" kauft, nur weil da ein Typ namens Endymion vorkommt, und man ganz genau weiß, daß der bis auf den Namen nichts mit Sailor Moon zu tun hat. 	DOC
... 	du mit einem Staubsauger versuchst den Leuten ihre reinen Herzen zu klauen, um die Talismane zu kriegen. 	DOC
... 	du als Grabinschrift "Er/Sie starb im Namen des Mondes" verlangst. 	DOC
... 	du als Mann eine irrationale Vorliebe für das Tragen von kurzen blauen Faltenröcken entwickelst. 	DOC
... 	du bei jeden Vollmond deinem Rauhhaardackel beim Heulen Gesellschaft leistest. 	DOC
... 	du gerade einen Banküberfall siehst, in eine Seitengasse springst und rufst: "Macht der Mondnebel, mach auf!" und dich tatsächlich verwandelst! 	DOC
... 	du deinen überschweren Kater "Red Butler" nennst. 	DOC
... 	du vorhast in Tokio zu leben, um ein richtiger Moonie zu werden. 	DOC
... 	du jedes Playmate für die Reinkarnation von Bunny hältst. 	Hunter
... 	das beste Geschäft keine Videokassetten mehr hat, weil du sie alle für Sailor Moon Aufnahmen brauchst. 	DOC
... 	du nach einem Weg suchst, um als Senshi wiedergeboren zu werden. 	DOC
... 	du ein Bild von Mamorou ausdruckst und damit zum Frisör rennst. 	DOC
... 	du alle Deine Sailormoon-MIDIs auf Kasette aufnimmst, um sie im Auto zu hören. 	DOC
... 	du tagelang nichts mehr ißt nur um Hotaru ähnlicher zu werden. 	DOC
... 	du dich bei 10 MAILINGLISTs angemeldet hast und dich trotzdem wunderst, warum du auf einmal 500 neue Freunde hast, die dir täglich schreiben... 	DOC
... 	du die Leute von Toei Animations anflehst, sie sollen doch in 16:9 zeichnen, damit deine neue TV-Anlage voll zum einsatz kommt. 	DOC
... 	du dir mit deinem ganzen Taschengeld die komplette jap. SailorMoon Videoedition gekauft hast. 	DOC
... 	du dich wunderst, warum dich alle auslachen, nur weil du zum Balletunterricht dein SailorMoon-Dress angezogen hast. 	DOC
... 	du deine ganze Nachbarschaft versuchst zu mooniefizieren. 	DOC
... 	du dich keine Edelsteine mehr kaufen traust, weil die ja in etwa 70% aller Folgen, irgendwas mit dem Reich des Bösen zu tun haben... 	DOC
... 	du dich nie mehr auf einen Rummelplatz traust, nur weil du Angst hast, irgendjemand im roten Anzug könnte dich mit Algen (oder so) beschießen, die dich fast ersticken. 	DOC
... 	du dich entscheidest einen Vampy-Fan-Club zu eröffnen, bei dem das stündliche Quälen von Vampy an der Tagesordnung steht!!! 	DOC
... 	du dich entscheidest einen Vampy-Fan-Club zu eröffnen <grrrrr!> 	DOC
... 	du glaubst daß der Erleuchtete in Wirklichkeit der Imperator (Star Wars) ist! 	DOC
... 	du, bei selbst programmierten Programmen ins Infofenster reinschreibst: "Entwickelt für Sailor Neptun/Michiru Kaioh" 	DOC
... 	du im EDV-Unterricht der Berufsschule, statt der Lehrperson zuzuhören im Internet surfst und beim Animexx vorbeischaust. 	DOC
... 	dein Goldfisch verhungert, weil du während du Sailormoon gesehen hast nicht aufstehen und ihn füttern wolltest. 	DOC
... 	du Unmengen von Brieffreunden hast, und diese REIN ZUFÄLLIG ebenfalls FAST alle Sailor Moon Fans sind. 	DOC
... 	du eine Strasse findest, die den Namen "Sailerstrasse" traegt. (Zu finden in Andernach!) 	DOC
... 	dein Mouse Pad das selbe Bild zeigt, wie das deines Windows-Hintergrundes (natürlich ein SM-Bild!!!) 	DOC
... 	du deinen Nachnamen in den deiner Lieblings-Senshi unbenennen laesst! 	DOC
... 	du es immer wieder schaffst, von JEDEM Gespächsthema auf Sailor Moon zu wechseln. 	DOC
... 	du Origami erlernst, nur um kleine Bunnys aus Papier zu falten. 	DOC
... 	du es tatsaechlich schaffst, dass deine Freundin sich 2 Meter lange Zöpfe wachsen laesst! 	DOC
... 	du jedem Auto hinterherrennst, was als Autokennzeichen XXX-SM-XXX hat. 	DOC
... 	man als Kampfsport-Trainer plötzlich neue Angriffe seinen Schülern beibringt wie z.B. den 'Feuerringe-fliegt-Handkantenschlag' oder einen 'Feuerherzen-fliegt-Fingerstoß'. 	DOC
... 	sich deine Nachbarn beschweren das du SailorMoon SCHON WIEDER zu laut gemacht hast. Und du dich wunderst, es sind doch nur 240Watt Boxen&Anlage bei voller Lautstärke. 	DOC
... 	du deinen Freunden versuchst etwas zu erzählen, und sie bevor du den Mund aufmachst sagen: "oh nein, lass uns mit SailorMoon in ruhe" 	DOC
... 	du alle midi Dateien die es gibt, mit Namen und Folge in der sie liefen nennen kannst. 	DOC
... 	du dich mit ein paar (nicht moonie) Freunden zum Spielen über netzwerk trifft, und alle sich beschweren, das du deine sounds doch bitte ausmachen sollst. 	DOC
... 	man das Rathaus seiner Stadt mit Sailor Moon Bildern zuhaengt. 	DOC
... 	du aus solidarität zu Bunny ABSICHTLICH schlechte Noten schreibst. 	DOC
... 	die einzigen Bilder in deinem Brower Cache nur noch solche von Sailormoon Seiten sind. 	DOC
... 	deine Doktorarbeit über Sailor Moon anerkannt wird. 	DOC
... 	du aus dem Gedächtnis eine 500 Seitige Abhandlung schreiben kannst. 	DOC
... 	du auf einem Hochhaus stehst und du glaubst dass du dich in die Eternal Sailormoon mit Flügeln verwandelst wenn du runterspringst und wenn nicht dann glaubst du Tuxedo Mask steht schon unten um dich aufzufangen. 	DOC
... 	du die Regierung bittest einen Rettungsaktion fuer die Ueberlebenden des Moondes zu starten. 	DOC
... 	du nicht mehr den Unterschied zwischen Kommissar REX und Luna erkennst. 	DOC
... 	du glaubst, Thomas Gottschalk sei einer von den 5 Hexen, nur weil seine Frisur etwas UNGEWOEHNLICH aussieht. 	DOC
... 	deine Schule ploetzlich von -Hauptschule xxx- in -Sailormoonausbildungszentrum xxx- umbenannt wird. 	DOC
... 	du lautstark in der Schule Sailor Moon Songs pfeist und bald bemerkst, dass Sailor Moon doch nicht so unbekannt ist. 	DOC
... 	du Artimis für einen Vulkanier haelst, nur weil er so spitze Ohren hat. 	DOC
... 	du in den Supermarkt gehst, dort nach einen Mondstein fragst und einen bekommst!?! 	DOC
... 	du in den Supermarkt gehst und dort nach einen Mondstein fragst. 	DOC
... 	du dir die Namen aller Sailor Senshis aufs Klopapier raufkritzelst, damit sie immer NAH BEI DIR SIND. 	DOC
... 	du alle Folgen der 1. und 2. Staffel in 'Schnell-Vorlauf' ansiehst, damit du dich innerhalb von wenigen Stunden wieder an alle Details erinnern kannst. 	DOC
... 	dich deine Freunde fragen ob du Sailor Moon kennst und du nur mit einem zaghaftem 'Ahh...' antwortest, um zu verhindern, daß irgendwer deine Videosammlung von 50 Sailor Moon Cassetten zu entdecken. 	DOC
... 	du die ersten 5 Sekunden des Sailor Moon Songs für ein Stunde lang endlos abspielst. 	DOC
... 	du ein Zeuge Jehovas wirst, weil du schon mal Christ, Satanist und Moon-Sektler warst. 	DOC
... 	du zur Moon-Sekte gehst, weil du ein bessere Moonie werden willst. 	DOC
... 	du zum Satanisten wirst, weil du anstatt SAILOR SATURN, SAILOR SATAN verstanden hast. 	DOC
... 	du Sub-Zero aus Mortal Combat für Tuxedo Mask hältst. 	DOC
... 	du Sonja aus Mortal Combat für eine der Sailor Krieger hälst. 	DOC
... 	du dir taeglich diese Homepage laedst und Online durchliest, und erst beim 4. mal bemerkst, daß diese Page nur einmal die Woche aktualisiert wird. 	DOC
... 	du dir ein Sailor Moon Kostuem (mit Stiefeln und Mondstein) aus Pappmaschee selbst machst und bemerkst, daß das ganze Zeug nur deiner kleinen Schwester paßt. 	DOC
... 	du dein ganzes Taschengeld für eine Sailor Moon-Puppe ausgibst, und am nächsten Tag erfaehrst, daß die jetzt in jeder Junior-Tuete von McDonalds sind. 	DOC
... 	du versuchst deine eigenen Sailor Moon Episoden nach SM 200, mit ein paar Freunden, zu verfilmen. 	DOC
... 	du die Dialoge ganzer Folgen auswendig kannst. 	DOC
... 	du in jedem Fch zu Dir sagst:Meine Kenntnisse liegen irgendwo zwischen Ami und Bunny,leider liegen sie erheblich näher an Bunny. 	DOC
... 	du wirst zum Umweltsünder indem du keine Batterien kaufst auf denen "100% Mercury free" steht, weil dir das zu dumm ist. 	DOC
... 	du tötest Vampy, weil er Sailor Moon wieder einen "Cartoon" genannt hat. 	DOC
... 	du ins Krankenhaus musst, weil du dir den Kopf am Fernseher gestoßen hast,als du Sailormoon zu hilfe eilen wolltest. 	DOC
... 	du deine Lehrerin bittest, sie solle ihren Namen in "Haruna Sakurada" ändern! 	Amichan
... 	du X-Wing spielst und einen A-Wing für einen Amy-Wing, einen T-Wing für einen Tellulu-Wing, Darth Vader für einen Death Busters und den Imperator als ein Missgeschick von Dr. Tomoe hältst! 	Amichan
... 	du im Geschichtsunterricht sitzt und deinem Leher zitierst: "Wie Ami Mizuno schon sagte..." 	Amichan
... 	du bei der Abiturprüfung sitzt und keinen Platz mehr auf deiner Bank hast, weil ein riesiger Kristall auf dieser liegt, von dem du behauptest er sei der heilige Silberkristall und gebe dir die Macht die Prüfung zu bestehen! 	Amichan
... 	du deine Freunde bittest, Dich "Ami" zu nennen, obwohl Du ein Junge bist! 	Amichan
... 	du Naoko Takeuchi tonnenweise Geld schickst und sie bittest weitere 200 Folgen zu zeichnen! 	Amichan
... 	du Deiner Freundin deinen Kugelschreiber in dei Hand drückst, und ihr sagst sie solle: "Macht des Mondes, verwandle mich in Ami Mizuno!" schreien und Du Dich wunderst, daß Sie dir den Stift hinterher wirft! 	Amichan
... 	du auf jeden frabigen Kristall, den Du in die Finger bekommst, kräftig draufheulst, in der Hoffnung es könnte der heilige Silberkristall enstehen! 	Amichan
... 	Du versuchst deine freundin zu überreden sich 2m lange haare wachsen zu lassen und sie als ' odango '(Usagi's Frisur, FachJapanisch)zu tragen. 	DOC
... 	du versuchst, die Grimaßen (Slapstick-Gesichter) nachzuahmen und dich wunderst, warum es mit dem Schweißtropfen am Hinterkopf niemals klappt. 	DOC
... 	du jeden Tag mit einem Modell von Sailor Moon in die Arbeit / Schule gehst und Ihr Barbie-Kleider zum Geburtstag schenkst. 	DOC
... 	du jedes Pokerspiel mit den Worten : "Nun wählt einen passenden Cardian" beginnst. 	DOC
... 	dein Anmachspruch lautet : "Komm mit zu mir und ich zeig dir meinen Mondstab" 	DOC
... 	du beobachtest, wie 50 schwerbewaffnete Gangster einen Laden ausräumen und rufst: "Ergebt euch, oder ich werde euch im Namen des Mondes bestrafen!". Und die Typen laufen tatsächlich davon. 	DOC
... 	du wildfremde Katzen auf der Straße ansprichst und dich wunderst, warum dich alle Leute so komisch anschauen. 	DOC
... 	du deine Katze tätowieren läßt. 	DOC
... 	du eine Papprolle schwenkend durch die Gegend läufst und rufst: Macht des Mondes verwandele es zurück! 	DOC
... 	du deiner sich heftig wehrenden Katze einen Halbmond auf die Stirn klebst. 	DOC
... 	du schon seit Tagen versuchst eine Zitrone auf deiner Geige zu balancieren. 	DOC
... 	du das Haustier deines kleinen Bruders toetest, nur weil es aussieht wie ein Mischung zwischen Hase und Meerschweinchen und jemand zufaellig etwas Parfuem daruebergeschuettet hat. 	DOC
... 	du beim Kauf eines Computers ein Amy-Bios verlangst 	DOC
... 	du den Süßigkeiten-Schrank aufmachst und dann umkippst, weil du von "Zuckerherzen" beschoßen wurdest. 	DOC
... 	du (wie Bunny) einen Test mit einer sehr schlechten Note wiederbekommst und dann rufst: "Mächte aller Zeiten, laßt die guten Noten sich verbreiten!" 	DOC
... 	deine Freundin in Gefahr ist und du ihr mit einer Rose zur Hilfe eilst. 	DOC
... 	du es schaffst, Mr.Kalle in einen Moonie zu verwandeln. 	DOC
... 	du in einem Blumengeschaeft fragst, welche Rosen am aerodynamischsten sind. 	DOC
... 	du glaubst,du seist Endymeon und haettest dein Gedaechtnis verloren. 	DOC
... 	du deine Eltern dazu überredet hast eine drebare Satelitenschüssel aufs Dach zu bringen, nur damit du dir Sailor Moon im Original angucken kannst. 	DOC
... 	du anime.ger Aboniert hast und in deiner Mailbox täglich bis zu 200 E-Mails liegen. 	DOC
... 	du bei jedem Schwaecheanfall angst hast, dass die Welt untergeht. 	DOC
... 	du seit Tagen durch die Stadt rennst weil du ein üd-Board mit Kermesite-Chipsatz suchst. 	DOC
... 	du in Japan einkaufen gehst und Dich wunderst, warum alle Preise in Yen angegeben sind, wenn sogar Telulu ihre Sonderangebote in DM gemacht hat. 	DOC
... 	du nie Pflanzen von einer gruenhaarigen Verkaeuferin kaufst, die obendrein das Geschaeft gerade erst neu eröffnet hat. 	DOC
... 	du dich fragst, ob die Ferengi-Daimons auch von Doktor Tomoe erschaffen wurden. 	DOC
... 	du in einem Schreiben an die Regierung verlangst das Seifenblasen zur Massenvernichtungswaffe erklärt werden müssen. 	DOC
... 	du, beaffnet mit einem Bild deiner lieblings Sailorkriegerin, zum Friseur gehst und ihn darum bittest genau so auzushen; dabei ist es dir ganz egal, dass du ja eigentlich ein Junge bist und gewisse Leute (alle ausser dir) es fuer seltsam halten koenntn, dich mit 2m langen pinken Zoepfen (nur ein Beispiuel üm lange gruene Harre wuerden Wahrscheilich eine aehnlich Reaktion hervorrufen) zu sehen. 	DOC
... 	du dir beim Neo Tokio den Sailor Moon Mondstab kaufst und dich wunderst warum du dich nicht verwandelst wenn du "Macht des Mondes wach auf!" rufst. 	DOC
... 	du deinen Kindern als Gutenachtgeschichte etwas von Sailor Moon vorliest. 	DOC
... 	du mit 14 Mutter/Vater werden willst und dein Kind Chibiusa nennst. 	DOC
... 	du im Chemie Unterricht dich für Proffessor Tomoe hältst und eigene Dämonen erschaffen willst. 	DOC
... 	du mit deinem Fernglas den Mond nach den Trümmern des Mondpalastes absuchst. 	DOC
... 	du als Tuxedo Mask auf eine Faschings Party gehst. 	DOC
... 	du dir deine Klamotten mit Sailor Moon Bildern bedruckst und dich wunderst ausgelacht zu werden. 	DOC
... 	du verlangst, daß deine Stadt in "Kristall Tokyo" umgetauft wird. 	DOC
... 	du Freunden auf die Frage, wen du heiraten willst, zu erklären versuchst, warum es ein Sailor-Senshi sein soll. 	DOC
... 	du nur mit einer Sailor-Schuluniform zur Schule gehst, obwohl dein Antrag auf deren Einführung vom Schuldirektor abgelehnt wurde. 	DOC
... 	du auf der Straße Leute mit blauen, grünen oder pinkfarbenen Haaren siehst und das für völlig normal hältst. 	DOC
... 	du eine Liste mit Sachen erstellst, die passieren, wenn du zuviel Sailor Moon siehst und diese auch noch veröffentlichst. 	DOC
... 	du im Auto mit offenen Fenstern durch die Stadt fährst, mit voller Lautstärke den Sailor Moon-Soundtrack hörst, dabei laut mitsingst, und dich wunderst, warum dich alle Leute so komisch ansehen. 	DOC
... 	du deine Katze schwarz färbst, damit sie Luna ähnlich sieht, ihr auch einen goldenen Halbmond auf die Stirn malst, aber enttäuscht bist, weil sie immer noch nicht spricht. 	DOC
... 	du mehrere Videorekorder zum Aufnehmen von Sailor Moon programmierst, weil alle anderen ausfallen könnten. 	DOC
... 	du den Geburtstag deiner Freundin vergisst, aber jede Einzeilheit aus Sailor Moon's Leben kennst. 	DOC
... 	du fieberhaft nach dem Mondstab suchst, wenn sich deine Schwiegermutter ankündigt. 	DOC
... 	Japan Deine neue Wahlheimat ist. 	DOC
... 	du dich über keine schulische Entscheidung mehr aergerst, als dass du nicht Japanisch als erste Fremdsprache gewählt hast. 	DOC
... 	du bei einer Warnung durch dein Anti-Viren-Programm in Panik gerätst und glaubst, dass ein Dämon in denen PC eingeschlichen hat. 	DOC
... 	du dir keine Schuhe mehr kaufst, da ja ein Monster drin stecken könnte. 	DOC
... 	du versuchst einen Fussball in einen Playstation zu verwandeln. 	DOC
... 	du jede Grippewelle fuer ein Werk Esmeraudes haelst. 	DOC
... 	du betest niemals krank zu werden aus Angst Minako könnte vorbei kommen. 	DOC
... 	du von deinem Freund verlangst, dass er als Liebesbeweis Deine verkohlten Plätzchen ißt. 	DOC
... 	du jeden Opa fuer einen Lustmolch hälst. 	DOC
... 	du jeden der gemein zu dir ist anschreist: "So behandelt man eine Prinzessin nicht!" 	DOC
... 	du nur noch Suppe essen willst, wenn Du schlürfen darfst. 	DOC
... 	du jedem Kind seinen Ball wegnimmst, in der Hoffnung es koennte Luna P sein und verzweifelt schreist:"Pu! Ich will zurueck in die Zukunft! Ich will zu meiner Mama!" 	DOC
... 	du mitten in der Einkaufsstraße, ohne Rucksicht auf die Leute, lauthals anfängst Sailormoon-Songs zu singen. 	DOC
... 	du dir ueberlegst, was sich alles in deinem Leben verbessern wuerde, wenn Du ein Sailor Krieger waerst. Zum Beispiel endlich genug Bewegung haben, die dir der Arzt schon seit langem verschrieben hat. 	DOC
... 	du keinen Angriff fürchtest, da dich ja auf jeden Fall irgendjemand retten wird. Wenn schon nicht Tuxedo Mask erscheint und auch Sailor Uranuns und Sailor Neptun verhindert sind, dann wird sicherlich ein weiterer unbekannter Retter auftauchen. 	DOC
... 	du eine Diebstahl-Versicherung über deinen Herzkristall abschliesst, da er ja von einem Demon gestohlen werden koennte. 	DOC
... 	du bei STAR TREK nur auf einen Kampf wartest, damit Du dann "Photonentorpedo - flieg und sieg!" schreien kannst. 	DOC
... 	du glaubst, dass das Lied "Roses of Red" nicht von der Kelly Family, sondern von Tuxedo Mask ist." 	DOC
... 	es dir draußen zu heiß ist rufst: "Macht des Jupiter, schicke Sturm, schicke Wolken, schicke Donner!" (es funktioniert tatsächlich) 	DOC
... 	der Ansagetext deines Anrufbeantworters wiefolgt lautet: "Ich bin Sailor Moon! Leider bin ich z.Z. nicht da, weil ich für Liebe und Gerechtigkeit kämpfe, aber im Namen des Mondes können Sie eine Nachricht hinterlassen." 	DOC
... 	du gegen Leute handgreiflich wirst, die "What shall we do with the drunken Sailor" singen. 	DOC
... 	du japaniche Spielzeugfirmen erpreßts, damit sie wieder anfangen, Sailor Moon Artikel zu produzieren. 	DOC
... 	du einen Sailor Moon Sender gründen willst. 	DOC
... 	deine Sailor Moon Homepage größer als 1 GB ist. 	DOC
... 	du mit dem gedanken spielst, einen DVD-Brenner zu besorgen um alle deine Daten kompackt auf "nur" 50 DVD´s unterzubringen. 	DOC
... 	du die Schule schwäntzt, um keine Folge zu verpassen. 	DOC
... 	du Dich mit den Worten "<Lieblings-Senshi hier einsetzen> würde stolz auf mich sein" zu besonderen Leistungen anspornst. 	DOC
... 	du schreibst Naoko Takeuchi (Erfinderinn von Sailor Moon) Liebesbriefe per E-Mail. 	DOC
... 	du alle Feinde von Sailor Moon liebst, da es ohne diese ja keine Sailor Moon - Folgen geben wuerde. 	DOC
... 	du einen Sailor Moon Online Fanclub gründest..... 	DOC
... 	du genausoviele Leute in Moonies verwandeln willst wie die Borgs Individuen assimiliert haben. 	DOC
... 	du eine Sailor Moon - Partei gründest. 	DOC
... 	du Dein ganzes Haus und noch einige Nachbarhaeuser tapezieren koenntest, wenn Du alle Deine Sailor Moon - Bilder ausdrucken wuerdest. 	DOC
... 	du keine Tapete in Deinem Zimmer mehr braucht, nachdem Du dir 'nur ein paar Deiner Lieblingsbilder' ausgedruckt hat. 	DOC
... 	du Sailer Moon - Hasser entweder ignorierst oder eleminierst. 	DOC
... 	Du TIME TRAX mit *Darian* Lambert fuer die amerikanische Realfilm-Version von Sailor Moon hältst. 	DOC
... 	du lauthals verkuendest, auf SM zu stehen und dich dann wunderst, warum Du von alle so komisch angesehen wirst. 	DOC
... 	du das Dokument zur Erstellung des Mooniecodes auswendig kannst. 	DOC
... 	dein MoonieCode größer ist, als SM:6+ 	DOC
... 	deine Petition abgelehnt wird, und du dir denkst: 'Naja, war wohl etwas zu eigensinnig, den Mond als Besitz Deutschlands zu bezeichnen...' 	DOC
... 	du eine Petition an die Regierung schreibst, in der du verlangst, dass Sailor Moon zur Staatsreligion ausgerufen wird und sich die Staatsform Deutschlands in 'Moonarchie' ändert, und von nun an 'Das Königreich des Deutschen Mondes' genannt wird. 	DOC
... 	du mit MoonieCode 1 anfängst und vorhast, mit MoonieCode 9 zu sterben. 	DOC
... 	du dir einen schwarzen Halbmond auf die Stirn malst, um dir etwas mehr Respekt unter deinen Moonie-Freunden zu verschaffen. 	DOC
... 	du dich fragst, wie oft Mamoru noch stirbt. 	DOC
... 	du deinem Computer eine blaue Perrücke aufsetzt und ihn "Ami" nennst. 	DOC
... 	50% aller Sprüche dieser Liste von DIR stammen! 	DOC
... 	dich dein bester Kumpel auf seiner Party Sailor Moon schauen läßt, UND DU DER EINZIGE ANWESENDE MOONIE BIST! 	DOC
... 	du von RTL2 forderst, einen Soundtrack zur Serie rauszubringen. 	DOC
... 	du diese Liste als die Liste deiner Lebensziele betrachtest. 	DOC
... 	du dir diesen schrecklichen RTL2-Sampler kaufst, nur weil die Titelmelodie von Sailormoon, umzingelt von Boygroups und den Schlümpfen, drauf ist. 	DOC
... 	du nur noch mit Rock und roten Stiefel rumrennst und ständig die anderen Sailer Krieger rufts weil du doch Angst vor den Bösen hast. 	DOC
... 	du häufiger die Schreine deiner Lieblingskriegerin besuchst , als du in die Kirche gehst! 	DOC
... 	im Zirkus die Löwen durch brennende Ringe springen und du lauthals in die Manege schreist: "Feuerringe - fliegt!" 	DOC
... 	du deinen kleinen Bruder nur noch Shingo nennst, verlangst, dass sich deine Mutter die Haare blau färbt, kaufst deinem Vater eine Nickelbrille, setzt dir eine kilometerlange, blonde Perücke auf, heulst über jede Kleinigkeit, kommst täglich zu spät zur Schule, schreibst lauter 5er und versuchst dir selbst einzureden, ein Kerl namens Mamoru würde dich lieben. 	DOC
... 	du weisst, das dein Lehrer zuviel Sailormoon guckt, wenn... er/sie dich mit einem Eimer voll Wasser auf dem Kopf auf den Flur stellt wenn du deine Hausaufgaben nicht gemacht hast. 	DOC
... 	du jeden Lehrer/Professor für ein Monster hältst das dir Energie abzieht weil du regelmässig im Unterricht einschläfst. 	DOC
... 	die Abkürzung SM für dich zwei Bedeutungen hat, ja nachdem, ob der Anhang "Und ich meine nicht Sailor Moon" folgt oder nicht. 	DOC
... 	du dir überlegst was passiert, wenn man zuviel Sailormoon guckt. 	DOC
... 	du Helmut Kohl für Königin Metallia hältst. 	DOC
... 	du kleine Kinder fängst um mit ihrer Energie die Eiche in eurem Garten zu nähren. 	DOC
... 	du dich nach deinem Tod einfrieren lassen willst, um in Kristall Tokio wieder erweckt zu werden. 	DOC
... 	du dir das Gesicht operieren lässt um so auszusehen wie der Abiturient der Makoto sitzengelassen hat. 	DOC
... 	du viel lernst um so gut wie Ami-chan zu werden. 	DOC
... 	du dich mit einem Eimer voll Wasser auf dem Kopf auf den Flur stellst, wenn du deine Hausaufgaben nicht gemacht hast. 	DOC
... 	du deinen kleinen Bruder mit "Shingo" anredest und seinen Hamster tötest, weil du ihn für einen "Shanella" gehalten hast. 	DOC
... 	du deine Eltern überzeugen willst, daß deine kleine Schwester gar nicht mit euch verwandt ist, sondern daß sie euch nur hypnotisiert hat. 	DOC
... 	du bei der Marine darauf bestehst, mit "Sailor " angeredet zu werden. 	DOC
... 	Du zu Anime-Treffen im Sailor Moon Kostüm gehst. Dann siehst du jemand anders, der AUCH als Sailor Moon verkleidet ist! Wütend stürmst du zu ihr hin, und schreist: "Keiner fällt auf deine Verkleidung rein, Zoisite!" 	DOC
... 	du im Iran im Urlaub bist, und du alle Männer mit weißer Gesichtsmaske fragst: "Mamoru, bist du das?!" 	DOC
... 	du findest, dass viel zu schönes Wetter ist, um drinnen zu sitzen und Sailor Moon zu schaun... also schleppst Du Deinen Fernseher nach draußen! 	DOC
... 	man regelmäßig den Rosengarten seiner Mutter plündert mit der fadenscheinigen Begründung man hätte jetzt endlich eine Freundin. 	DOC
... 	du deine Katze bittest dir deine Erinnerung wiederzugeben. 	DOC
... 	dein Gasherd in die Luft fliegt und du rufst "Feuerball FLIEG". 	DOC
... 	du anfängst japanisch zu lernen um dir das Original anzusehen. 	DOC
... 	du im Rotlichtmilieu einen SM Laden nach Sailormoon Fanartikeln absuchst. 	DOC
... 	deine Windows Schlußmusik dagegen "Bill Gates, verwandle Dich zurück!!!!" lautet 	DOC
... 	deine Windows Startmusik aus dem Satz "Macht der Mondnebel wach auf" besteht. 	DOC
... 	du dem Schornsteinfeger von nebenan weismachen willst, daß Ihr in einem früheren Leben verheiratet wart. 	DOC
... 	du dem DJ im Tekknobunker vorschlägst, doch mal das "Sailormoon Theme" aufzulegen bzw. du dir in der Radiothek das Lied wünschst bzw. Du verzweifelt den Wurlitzer in Deiner Stammkneipe nach dem Song absuchst. 	DOC
... 	du dir ein Häschen auf deine Lunchbox malst. 	DOC
... 	du dir sicher bist, dass Bill Gates ein schlimmerer Cardian als Mickey Maus ist. 	DOC
... 	du Mickey Mouse für einen mächtigen Cardian hältst. 	DOC
... 	du in den nächsten Fantasyladen stürmst, einen Satz Tarotkarten kaufst und stundenlang auf Deiner Flöte spielst. 	DOC
... 	du nur noch in einen Bus einsteigst, wenn Du Dich als Stewardess oder Kindergärtnerin verkleidet hast. 	DOC
... 	du zu Deinem wöchentlichen Gotcha Treff nur noch mit einem Seifenblasendings bewaffnet gehst. 	DOC
... 	du nie ohne eine blaue Sonnenbrille und einem Taschenrechner aus dem Haus gehst. 	DOC
... 	du Reinhold Messner vorschlägst, doch nochmal mit Dir zum Nordpol zu reisen, um "das Böse zu besiegen. 	DOC
... 	du an der StreetParade (Schweizer LoveParade ;-)) jedesmal glaubst eine Sailorkriegerin entdeckt zu haben, nur weil sie königsblaues Haar oder seltsame Haarkugeln auf dem Kopf hatte... 	DOC
... 	dir Gott im Traum erscheint, und sagt zu Dir: "Nein, ich mache Dich zu keinem Sailor Senshi! Jetzt hör auf dafür zu beten". 	DOC
... 	du den Freund/die Freundin deines/r besten Freundes/in in einen Moonie verwandelt hast und sie/er nun wütend ist , daß sie/er mehr mit Dir gemeinsam hat als er/sie. 	DOC
... 	deine Freundin meint, daß Du Sailor Moon mehr magst, als Du sie magst UND SIE HAT RECHT DABEI! 	DOC
... 	deine Freundin meint, daß Du Sailor Moon mehr magst, als Du sie. 	DOC
... 	du glaubst, dass George Lucas bei STAR WARS einen Fehler gemacht hat, denn es müsste doch Prinzessin Serenity statt Prinzessin Leya heißen. 	DOC
... 	du bietest der 6 jährigen Nachbarstochter ein Vermögen für ihren Mondstab (komplett mit Silberkristall). 	DOC
... 	du versuchst, jede deutsche Plattenfirma dazu zu überreden, den amerikanischen Sailor Moon Soundtrack in Deutschland zu veröffentlichen. ("Ist mir doch egal, wenn sie die Tracks noch nie gehört haben!") 	DOC
... 	du Drohbriefe an das Synchronstudio schreibst, das Sailor Moon synchronisiert hat, in denen steht, daß es Tote geben wird, wenn sie nicht bald die alten Synchronstimmen wieder herholen. 	DOC
... 	du eine Antenne auf deinen Kopf steckst, bei Gewitter aufs Dach gehst, in der Hoffnung von einem Blitz getroffen zu werden. 	DOC
